,PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Traded 2016-17,Traded 2017-18,Traded 2018-19,Traded 2019-20,Traded 2020-21
0,1630208,00,0,62,5,411.0,60,92,0.652173,0,1,0.0,37,54,0.685185,34,58,92,15,9,19,24,56,157,0,0,0,0,0
0,202714,00,0,456,56,8393.0,1165,2752,0.423328,302,916,0.329694,365,499,0.731462,118,776,894,1421,300,24,560,568,2997,0,0,1,0,0
0,1630210,00,0,63,1,347.0,68,183,0.371584,41,121,0.338842,20,24,0.833333,1,27,28,24,11,1,24,34,197,0,0,0,0,0
0,1630211,00,0,10,0,88.0,3,13,0.230769,1,2,0.5,4,5,0.8,1,13,14,4,0,2,3,10,11,0,0,0,0,0
0,1630214,00,0,101,12,1608.0,239,457,0.522975,30,102,0.294117,65,101,0.643564,121,253,374,115,85,47,72,167,573,0,0,0,0,0
0,1630216,00,0,27,0,125.0,17,39,0.435897,10,22,0.454545,7,8,0.875,0,9,9,17,2,1,6,15,51,0,0,0,0,0
0,1630217,00,0,132,81,3445.0,655,1430,0.458041,302,718,0.420612,150,172,0.872093,68,427,495,282,113,42,153,294,1762,0,0,0,0,0
0,1630218,00,0,25,0,88.0,10,36,0.277777,2,10,0.2,5,10,0.5,9,18,27,5,1,4,2,7,27,0,0,0,0,0
0,1630219,00,0,57,5,479.0,76,160,0.475,22,65,0.338461,30,34,0.882352,15,45,60,46,21,2,19,23,204,0,0,0,0,0
0,2037,00,0,1327,433,38994.0,6752,16467,0.410032,2221,6379,0.348173,3694,4286,0.861875,466,2482,2948,4541,1179,271,2476,2008,19419,0,0,0,0,0
0,1630221,00,0,21,1,336.0,30,99,0.30303,4,37,0.108108,22,44,0.5,6,53,59,28,4,1,25,37,86,0,0,0,0,0
0,1630222,00,0,34,1,343.0,54,131,0.412213,24,68,0.352941,41,66,0.621212,8,49,57,42,8,1,30,25,173,0,0,0,0,1
0,1630223,00,0,13,2,172.0,36,72,0.5,17,36,0.472222,7,9,0.777777,3,15,18,17,8,0,14,15,96,0,0,0,0,0
0,202718,00,0,440,369,13247.0,2129,4611,0.461721,687,1844,0.372559,626,878,0.712984,356,1616,1972,1201,412,152,657,865,5571,0,0,0,0,0
0,1630230,00,0,72,11,1146.0,148,379,0.390501,44,158,0.278481,97,132,0.734848,39,199,238,125,48,15,69,98,437,0,0,0,0,0
0,1630231,00,0,109,10,2393.0,391,751,0.520639,81,228,0.355263,125,186,0.672043,142,354,496,135,58,69,88,174,988,0,0,0,0,0
0,1630233,00,0,64,2,493.0,65,159,0.408805,8,41,0.195121,84,110,0.763636,51,86,137,26,16,17,30,52,222,0,0,0,0,0
0,1630234,00,0,15,0,47.0,3,12,0.25,2,9,0.222222,1,2,0.5,2,8,10,6,0,1,3,2,9,0,0,0,0,0
0,1630235,00,0,84,5,985.0,99,204,0.485294,10,50,0.2,55,62,0.887096,29,104,133,138,36,7,67,61,263,0,0,0,0,0
