,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,MIN,FG_PCT,FT_PCT,PTS,AST,REB,STL,BLK,PLUS_MINUS
1,2020-21,1629003,Shake Milton,1610612755,Philadelphia 76ers,25.6,0.462,0.0,15,9,4,1,2,7
2,2020-21,1630188,Jalen Smith,1610612756,Phoenix Suns,40.96666666666667,0.455,0.0,11,2,10,0,1,5
5,2020-21,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,23.75,0.5,0.5,7,1,12,3,0,9
7,2020-21,1626192,Pat Connaughton,1610612749,Milwaukee Bucks,25.266666666666666,0.5,1.0,15,0,1,2,0,-11
8,2020-21,203118,Mike Scott,1610612755,Philadelphia 76ers,25.166666666666668,0.25,0.0,5,4,2,0,1,-4
15,2020-21,1629640,Keldon Johnson,1610612759,San Antonio Spurs,21.516666666666666,0.5,0.5,9,4,4,1,0,-4
21,2020-21,1626166,Cameron Payne,1610612756,Phoenix Suns,27.466666666666665,0.5,1.0,19,6,4,1,0,11
24,2020-21,1626184,Chasson Randle,1610612753,Orlando Magic,25.09,0.571,1.0,11,3,2,1,0,5
27,2020-21,1627749,Dejounte Murray,1610612759,San Antonio Spurs,29.866666666666667,0.3,0.0,6,4,7,1,0,-7
31,2020-21,1629653,Devon Dotson,1610612741,Chicago Bulls,21.416666666666668,0.5,0.0,11,4,2,1,0,13
36,2020-21,1629683,Quinndary Weatherspoon,1610612759,San Antonio Spurs,12.0,0.833,0.0,11,2,1,1,0,2
40,2020-21,1627756,Denzel Valentine,1610612741,Chicago Bulls,20.816666666666666,0.333,0.0,8,3,2,0,1,9
46,2020-21,1629743,Donta Hall,1610612753,Orlando Magic,25.09,0.667,0.75,14,2,10,0,2,5
48,2020-21,1629006,Josh Okogie,1610612750,Minnesota Timberwolves,20.6,0.5,0.5,6,1,2,2,1,1
50,2020-21,203952,Andrew Wiggins,1610612744,Golden State Warriors,37.108333333333334,0.563,0.5,21,0,10,1,1,8
51,2020-21,1629641,Romeo Langford,1610612738,Boston Celtics,34.13333333333333,0.455,0.667,14,1,4,1,0,-1
54,2020-21,1627751,Jakob Poeltl,1610612759,San Antonio Spurs,29.866666666666667,0.571,0.333,17,0,10,0,3,-7
55,2020-21,1629308,Juan Toscano-Anderson,1610612744,Golden State Warriors,26.83,0.571,0.0,9,1,4,2,0,10
59,2020-21,1628374,Lauri Markkanen,1610612741,Chicago Bulls,24.763333333333332,0.545,0.75,17,1,5,0,0,-11
65,2020-21,1629632,Coby White,1610612741,Chicago Bulls,31.266666666666666,0.462,0.75,19,5,5,1,1,-9
72,2020-21,1629002,Chimezie Metu,1610612758,Sacramento Kings,31.866666666666667,0.4,0.0,8,0,8,0,0,-11
74,2020-21,1626156,D'Angelo Russell,1610612750,Minnesota Timberwolves,35.68333333333333,0.421,0.8,23,10,3,3,0,13
75,2020-21,1628407,Dwayne Bacon,1610612753,Orlando Magic,27.083333333333332,0.429,0.75,9,2,7,0,0,-25
76,2020-21,1626245,Cristiano Felicio,1610612741,Chicago Bulls,17.95,0.4,0.5,5,0,8,1,0,5
81,2020-21,201942,DeMar DeRozan,1610612759,San Antonio Spurs,25.4,0.571,0.857,23,4,3,0,0,-4
82,2020-21,1628975,Jevon Carter,1610612756,Phoenix Suns,42.53333333333333,0.409,0.0,19,9,10,3,0,5
83,2020-21,1626153,Delon Wright,1610612758,Sacramento Kings,30.533333333333335,0.375,0.0,7,3,3,1,2,-14
88,2020-21,2730,Dwight Howard,1610612755,Philadelphia 76ers,17.05,0.5,0.5,5,2,7,2,0,9
91,2020-21,1629605,Tacko Fall,1610612738,Boston Celtics,16.586666666666666,0.5,0.5,3,0,8,0,3,-6
92,2020-21,1628382,Justin Jackson,1610612749,Milwaukee Bucks,32.61666666666667,0.333,0.5,9,1,6,0,0,4
97,2020-21,1628470,Torrey Craig,1610612756,Phoenix Suns,29.65,0.455,0.0,11,4,6,1,2,8
98,2020-21,1626163,Frank Kaminsky,1610612756,Phoenix Suns,20.233333333333334,0.556,0.0,11,7,10,0,1,-10
99,2020-21,1627853,Ryan Arcidiacono,1610612741,Chicago Bulls,16.733333333333334,0.833,0.0,14,2,4,0,0,15
101,2020-21,1629670,Jordan Nwora,1610612749,Milwaukee Bucks,35.88333333333333,0.609,0.5,34,0,14,2,3,-9
102,2020-21,1630202,Payton Pritchard,1610612738,Boston Celtics,23.033333333333335,0.2,0.0,6,6,6,0,0,-24
105,2020-21,1629684,Grant Williams,1610612738,Boston Celtics,25.606666666666666,0.625,1.0,13,2,6,0,0,-18
108,2020-21,1628964,Mo Bamba,1610612753,Orlando Magic,22.91,0.3,0.5,9,4,6,0,0,-16
112,2020-21,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,31.176666666666666,0.5,0.909,23,5,9,2,0,14
114,2020-21,1630194,Paul Reed,1610612755,Philadelphia 76ers,23.533333333333335,0.538,0.75,17,3,12,1,1,2
119,2020-21,1629109,Gary Clark,1610612755,Philadelphia 76ers,8.833333333333334,0.0,0.0,0,0,1,0,0,1
135,2020-21,1626172,Kevon Looney,1610612744,Golden State Warriors,31.171666666666667,0.6,0.0,6,3,11,0,0,5
138,2020-21,1628539,Mychal Mulder,1610612744,Golden State Warriors,14.85,0.0,0.0,0,1,2,0,0,7
141,2020-21,1629750,Javonte Green,1610612741,Chicago Bulls,23.24,0.6,0.0,6,1,2,4,1,12
142,2020-21,203648,Thanasis Antetokounmpo,1610612749,Milwaukee Bucks,15.033333333333333,0.0,0.0,0,1,1,1,0,-3
143,2020-21,1629649,Ignas Brazdeikis,1610612753,Orlando Magic,34.03333333333333,0.333,0.5,9,4,8,1,0,3
159,2020-21,201588,George Hill,1610612755,Philadelphia 76ers,22.466666666666665,0.833,1.0,14,4,1,1,0,14
169,2020-21,1629675,Naz Reid,1610612750,Minnesota Timberwolves,16.823333333333334,1.0,0.0,17,0,5,0,0,1
170,2020-21,1627823,Juancho Hernangomez,1610612750,Minnesota Timberwolves,10.65,0.5,0.0,2,2,1,0,0,7
173,2020-21,1629673,Jordan Poole,1610612744,Golden State Warriors,24.886666666666667,0.556,1.0,15,1,3,2,0,11
175,2020-21,1630198,Isaiah Joe,1610612755,Philadelphia 76ers,33.266666666666666,0.333,0.833,17,2,3,2,0,-2
176,2020-21,203110,Draymond Green,1610612744,Golden State Warriors,37.86666666666667,0.571,1.0,14,9,8,1,2,7
178,2020-21,1630162,Anthony Edwards,1610612750,Minnesota Timberwolves,38.21666666666667,0.476,1.0,30,4,0,0,2,9
182,2020-21,201952,Jeff Teague,1610612749,Milwaukee Bucks,33.63333333333333,0.455,0.833,23,7,3,3,1,3
184,2020-21,1630175,Cole Anthony,1610612753,Orlando Magic,37.833333333333336,0.4,1.0,37,2,8,1,0,-17
187,2020-21,1629021,Moritz Wagner,1610612753,Orlando Magic,34.63333333333333,0.8,0.833,14,1,4,1,1,-8
189,2020-21,1629657,Kyle Guy,1610612758,Sacramento Kings,18.633333333333333,0.25,0.0,6,5,6,2,0,-13
190,2020-21,1627741,Buddy Hield,1610612758,Sacramento Kings,30.716666666666665,0.417,0.667,13,9,7,1,0,-16
191,2020-21,1630200,Tre Jones,1610612759,San Antonio Spurs,18.133333333333333,0.6,0.75,9,7,0,1,0,5
194,2020-21,1630178,Tyrese Maxey,1610612755,Philadelphia 76ers,34.86666666666667,0.579,1.0,30,6,7,1,1,16
195,2020-21,1628969,Mikal Bridges,1610612756,Phoenix Suns,5.383333333333334,1.0,0.0,7,1,1,0,0,8
196,2020-21,201152,Thaddeus Young,1610612741,Chicago Bulls,25.55,0.533,0.667,20,3,7,0,3,5
199,2020-21,203914,Gary Harris,1610612753,Orlando Magic,14.216666666666667,0.6,1.0,7,2,0,0,0,-14
203,2020-21,1629234,Drew Eubanks,1610612759,San Antonio Spurs,8.65,0.5,0.0,4,0,3,0,0,9
205,2020-21,1628400,Semi Ojeleye,1610612738,Boston Celtics,16.298333333333332,0.333,0.0,5,1,2,0,0,-10
214,2020-21,201939,Stephen Curry,1610612744,Golden State Warriors,39.95,0.444,0.833,46,9,7,1,1,14
215,2020-21,1630174,Aaron Nesmith,1610612738,Boston Celtics,19.466666666666665,0.167,0.0,2,2,3,0,0,-6
216,2020-21,1629022,Lonnie Walker IV,1610612759,San Antonio Spurs,27.083333333333332,0.5,0.0,9,2,2,0,0,-8
218,2020-21,1630170,Devin Vassell,1610612759,San Antonio Spurs,26.016666666666666,0.222,0.0,5,2,2,0,1,7
221,2020-21,1629056,Terence Davis,1610612758,Sacramento Kings,31.8,0.571,1.0,20,1,3,2,0,-30
222,2020-21,201229,Anthony Tolliver,1610612755,Philadelphia 76ers,12.89,0.75,0.0,9,0,1,0,0,6
224,2020-21,203145,Kent Bazemore,1610612744,Golden State Warriors,27.336666666666666,0.0,1.0,2,2,1,2,0,-2
226,2020-21,204038,Langston Galloway,1610612756,Phoenix Suns,26.366666666666667,0.333,0.0,10,1,1,0,0,-21
236,2020-21,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,18.676666666666666,0.222,0.0,6,4,1,0,0,19
237,2020-21,1630172,Patrick Williams,1610612741,Chicago Bulls,29.63,0.5,1.0,11,1,7,1,2,-2
238,2020-21,1629730,Rayjon Tucker,1610612755,Philadelphia 76ers,17.65,0.8,0.4,10,1,2,0,0,-13
241,2020-21,1629091,Elijah Bryant,1610612749,Milwaukee Bucks,31.57,0.462,1.0,16,3,6,0,1,11
244,2020-21,1628414,Sindarius Thornwell,1610612753,Orlando Magic,19.11,1.0,1.0,7,3,2,0,0,12
246,2020-21,202066,Garrett Temple,1610612741,Chicago Bulls,28.633333333333333,0.6,0.0,7,3,3,0,0,-7
253,2020-21,203953,Jabari Parker,1610612738,Boston Celtics,26.9,0.6,0.833,18,2,7,0,0,8
254,2020-21,1630218,Robert Woodard II,1610612758,Sacramento Kings,11.15,0.25,0.0,2,1,3,0,1,1
258,2020-21,1630186,Jahmi'us Ramsey,1610612758,Sacramento Kings,21.2,0.556,1.0,12,1,1,0,0,1
259,2020-21,1629682,Tremont Waters,1610612738,Boston Celtics,25.05666666666667,0.538,0.0,17,5,5,2,0,20
260,2020-21,1630241,Sam Merrill,1610612749,Milwaukee Bucks,27.78,0.111,0.0,2,1,3,3,0,-15
262,2020-21,201937,Ricky Rubio,1610612750,Minnesota Timberwolves,20.19333333333333,0.333,0.0,2,7,3,0,0,8
263,2020-21,1630183,Jaden McDaniels,1610612750,Minnesota Timberwolves,32.39,0.615,0.0,19,2,3,0,1,15
264,2020-21,1628436,Luke Kornet,1610612738,Boston Celtics,26.401666666666667,0.286,0.0,4,0,3,0,3,9
265,2020-21,202734,E'Twaun Moore,1610612756,Phoenix Suns,20.533333333333335,0.9,1.0,22,2,2,0,1,-9
271,2020-21,1629663,Louis King,1610612758,Sacramento Kings,28.166666666666668,0.417,0.0,12,3,3,3,1,-15
